ID,Label
Z3A6QU9xcFRPRk9hdzJrYU82NTExV2UxNlNYNTZNcFg3eW9ycnBGNnNKWTlGT19MTGVHa1lTS0F4cTh6eDRUemQ4WFpnWUtNalJhMjJqdm9kNi0xeEhJMEE , 1 
Z3A6QU9xcFRPRTg5YUJxZGdCOTR6eFlCeHlIbnM2N190VmEtUERjVWE5S3J3QlJoTEZLU0pOaW81WGd3UHRkcm9JZ0o5OFFyWElYV1hwWXZCMjJ1dW1NN0E , 0 
Z3A6QU9xcFRPRVJZTVJUT1pIdnp2dmlELUJvOGo2OFZ2bkhheUllVFhWZ2ljVWhqbHo0Nm1CVjhjb01SX01mamlLb053NnhCTTRUdlYwRWdLSHZSVFRJRmc , 0 
3A6QU9xcFRPR3R0QWdaN1dkcWdBeUZsMnkzcjJsTV9IRk5PTnY5SUVuOHpHM21EMWxjd3lhcUlQYi13WTBlRnpHMFRFTmc1S2VmSzc5eXdmcFRiZkRNRGNr , 0 
Z3A6QU9xcFRPR0pXUUxWWmFVUU8xa1lJTkdNeVZaeEpZbVlwMC02dGdpNXVYV2R6eWlfbFptdmM4SkdnendjWFlCRDFHUk92QVJWWXI5bVptQ1lWaHpkQ2c , 1 
Z3A6QU9xcFRPRmc0cy1GS3BmZU85ZmlzNTNwUkJ4Q3NBSXA3RElDWUQ5ZDgwdnM0eDNoSGNxQWlabWNndHRPRmw0d0NucWItRzNEQ2FwanVQRWVHR3A4S2c , 0 
Z3A6QU9xcFRPRVkyOHlobjVRWUJaTDZGZTE5SUpGV0ptQ1pZQzRybVVXdElDaU1XSUdubHBJWXI2aHNTMWROWW5TaS1JbFRZdHZHcG1mYWxVbmQ4MkQ4enc , 1 
3A6QU9xcFRPSDA2LThwMVpZc3ZsUFZEM2xDVUxUUXZER2J1QzlSSEpyRWZXVGFvYS1pRDFIY2xnMHFsbzRxSjBWazhENWNwTmZRSU5KcGlCd2Nab01Jeldr , 1 
Z3A6QU9xcFRPRzc4X1pISm1tRmRuYWI0Ymc1RWdNckVtNUpVb3dyOUpqWWxxYUl3bHRWNDRJdGdiekthMGduYkM3cVpraW5UNG9PX1RCQlBfTGhfa3Z3dXc , 1 
Z3A6QU9xcFRPRUR3ckYtN1NNcFk2LWUyaWF3YV9McjYxZW85ZU9SMXZIdFdDYTVPMzNhekhlVVc2Y21ZLXRKeFpfNGg5OWFKVDBsY3EzOHpDdFNwZTh0bkE , 1 
Z3A6QU9xcFRPRTRCdGNsSUVDR0ZKZlJXQ3NuV1pLUmtWM2wtMm54MERGMWdhZEliWW5qYTlQeGNtaHUzUjhBdFBLdzh1VjBuVEp4bEdvN29hLTJQQTlBemc , 1 
Z3A6QU9xcFRPRXFIblRaOXpQUmN3R3RQRkxGX3diaWsxYjVxcXcya3Q1QmFqM3F6akEtdXVKeUtxa0VfTVZLZk9OX3FtMWdDZnlGMUZ2bTlpZTc3TjdBYlE , 1 
3A6QU9xcFRPRkd0bmpIVmp3MkxyMUJQVXBnVFpWcUNGYS1EdmxsYU9xWU83d1RhMlRrVDBYdG54QldGcFdSTzA1dUhoa0prTmpNTGFtYkRnS1lKRmdURXdZ , 0 
3A6QU9xcFRPRVJKV29oQ0RsQlJ1cHViOG54djRFV0dqTTJTNUkyc1hDdWVDSG1rVkpaUFdvOGxQUXRpdmpHVlc1ckNyeThuMjU3S2VpeHVfRFJGeFJMNl9V , 1 
Z3A6QU9xcFRPR1k3NFdBODZ3d1laLXBRdnhLa0FoaHoxSE9sRFVmWlFGdjRCMGs4TjU4aXpwTmh5eTJsREVIY2xXd2FaeGlLODJCSXJOSk1uVmkwX3NYUlE , 0 
Z3A6QU9xcFRPRkt6T3NrVjRHdngyUGQ3SUNUQ0QwcklObnR2NTRBcWQ5eVFiaVVqVWVGM2ViVFp1Z210NWxmTG10TmNuWkF1T1JkdDB3TTNTNkU2WjhIS3c , 1 
Z3A6QU9xcFRPRnNpTi1ZOEVNTDg4SkNLYmpTR0luYWxVM1gyRFFOOGFHdWFyd2w5UUQwRTFKeTdlSlpxVGpfRjBFUWxRX1RLMEhHQXliR1VPNWJGeUF6elE , 0 
Z3A6QU9xcFRPSGhxX0xXOE1xQjFpajJtWGZ1Rm9EdVJKUklSVnBnZldiZm5SQUY4cGlyMEpVMU9OeXgwZTRvaUhCX2NRNGJRU2JMMmhBdTZUT25fU2dWRlE , 0 
3A6QU9xcFRPRWtOX1VmMmUyamxCQXYtVzRabFo5dE96Nlg0ekpKaUdlMGtRN3RwY3RTWjVVSEJ6OGJ1YTBhdHdBRGNTT3ExUG0tSWxfNFlFVlNJcTg5a3BN , 0 
Z3A6QU9xcFRPSEY3Rm52U25CZVFEZjNEc2JNdVpYZFhTXzdaMGxyQTBLdWRlaGZMTXBsTTViZkNMQlFpUDlCdnZJNE5wR1VMZUpqeXpzSHhhQ2Y2Y3R5dHc , 0 
Z3A6QU9xcFRPRjYxWmNIVExLdDZjazd5X1Jhb0pzVjMzdDRXUzg3WVlkYmxyVFVfdXk4a2dHLTNPaEM2MTlwREZtc2ZnZXBPVUc5ZGJCTi1OaW9lMmJzNGc , 1 
Z3A6QU9xcFRPSHdnMVBNNWFSTTVVcktOemI4UWVFWFd3ems2TndvNmo5NklYOTBHQ1pkeVNNRmZOcUdOc200dEtVSTJBbnhDQ2U0RERQOEVRUFg4QTU3Y0E , 1 
Z3A6QU9xcFRPSHZPSDBuUFVkX0FDdmZqTXJ4LWk4eWJQcjV0VDlCS3F3eS16YWtFTHdFOURQLWZHSXMtRWNya1ppWndNYUV0VDBPZ2tzdnRuRldXZk5xLUE , 0 
Z3A6QU9xcFRPSHVCS1BMYmptdy1HVzFuWnJ5QlNVZml6U3c2NXZ5VE9VNzgzMFBVMU1OcVlYLTA4ZFFnb1k1RVJ1NEVMelVKOGUzYVB0VERNZVBjOW5GUnc , 1 
Z3A6QU9xcFRPRVBZalNBTXN4REdVeTlvamp2RmJDN0F6SnZOeXFiekVDSG5oV3MtUFA5VUZJR1Z6ZzNvel9xZWNZeU9WM2ZubUwyd3ZIWWJMN3I5cEZld1E , 1 
3A6QU9xcFRPR0ZjSmRnYng5dHkyRGN0ZmRXbjlvQktrQTZ1Ty1SVlAtbUdfblJQdFJubW5UNUs1SWdqUkptNFFwQ0xyWEJFSlNNWnEyRkpzaUM0b01mZWNJ , 1 
3A6QU9xcFRPRjZaakYxTTBwbnl6SWoxaDJuZXZ6eW1aWHVWblhxZ2FRb2dXZ3hwanJVdjh4TVNHM2lyNWNFa1BRREdjRC13ZmstaHF5WXhFMEhTb1owQ0Rv , 0 
3A6QU9xcFRPSE8zNFFRUDU3U2pxNUxWTkhrN2tfSEFBMWJfR2t1TFRZclRfa05iRkhSU1N2NjJVODI4TVlJVlV6cWxLRVVramU2cEY1UDcwZlZZb3BrVDdZ , 1 
Z3A6QU9xcFRPRXJHc3EwZzlKVE1hSzVwcGh2QUUyd0hQazFpZEFaZzJSV25DZTFTeEVlVVdNRzV3N1pxRkNPXy1XT3dlRWg4VXloQVBzUHlJbm5KTkd1eXc , 1 
3A6QU9xcFRPRTNFY2J2bEFGeUVUaHM5TEhjbEhfQXBHVm9OZGU2aWFmeVQxTFFXclc4S2N5Qno2aUlMLUhfVXBRX2RmQ3h0LUR1QXc1Zm45UllISkhNNHhF , 1 
Z3A6QU9xcFRPR0F2bHB4aXZENVFpTHZpVzJjU0hNR2tKOEowMG9yTzcwNjlyZVFoLXlUS05NSEZWdmZFaXNvMWpZbnAxR3Z4dmFER2dCQVZwY2VoQjlnM2c , 0 
Z3A6QU9xcFRPRnBmMVZ1dnpFdHVqMTZOb2t3U3Mtb1ZUNTB3NkZWZ0NSWV9Ua1N2N3FJVkxQM2dmdlFpTk43QndBbmxXeUtpb2ZOYURKaWk4TGtNVkhzSXc , 1 
